epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3246,3.08608,4.62151,6.35676,1.31944,0.00162,0.05245,0.0009,0.00034,0.003,0.09684,0.00173,0.00059,3.00237,4.84323,6.7746,1.30944,0.000654088,0.000654088,0.000654088
2,24.4293,3.08083,4.14059,4.72572,1.25196,0.00023,0.0074,0.00012,5e-05,0.00056,0.01816,0.00029,9e-05,3.33561,5.89678,6.92722,1.56445,0.00130768,0.00130768,0.00130768
3,31.4395,3.09757,3.98655,3.98889,1.30621,0.15359,0.06859,0.027,0.00713,0.15193,0.07128,0.02606,0.00674,3.04721,7.70169,3.37241,1.59054,0.00194807,0.00194807,0.00194807
4,38.4624,3.10499,3.951,3.33402,1.22014,0.16196,0.11029,0.03656,0.01113,0.1438,0.13921,0.04485,0.01125,2.99406,4.60221,4.6674,1.33112,0.0019406,0.0019406,0.0019406
5,45.4116,3.10056,4.00747,3.31938,1.24087,0.19679,0.09549,0.04213,0.01113,0.17216,0.12912,0.05396,0.01436,3.13286,10.2031,3.30005,1.40741,0.0019208,0.0019208,0.0019208
6,52.4578,3.12867,4.00725,2.96236,1.25008,0.17915,0.09886,0.04209,0.01138,0.14915,0.13652,0.05282,0.01564,3.15852,4.89405,3.01475,1.33764,0.001901,0.001901,0.001901
7,59.5073,3.03432,3.95827,2.69107,1.23532,0.15156,0.10558,0.03251,0.00804,0.13907,0.12508,0.03902,0.01024,3.19017,4.11807,2.74817,1.38301,0.0018812,0.0018812,0.0018812
8,66.5783,2.99336,3.92596,2.56527,1.21203,0.1883,0.11163,0.05046,0.01535,0.17843,0.14929,0.06231,0.01447,2.95622,4.05107,2.51107,1.28633,0.0018614,0.0018614,0.0018614
9,73.5725,2.9201,3.81233,2.30758,1.23142,0.20984,0.10558,0.0529,0.01569,0.18178,0.12979,0.06219,0.01728,3.03029,3.86123,2.30378,1.3428,0.0018416,0.0018416,0.0018416
10,80.5537,3.00755,3.80593,2.27902,1.21576,0.17124,0.11903,0.04269,0.01282,0.18469,0.15386,0.06524,0.01867,2.92779,3.92434,2.68207,1.28405,0.0018218,0.0018218,0.0018218
11,87.3756,2.95977,3.76489,2.04704,1.21738,0.19116,0.10827,0.05623,0.01568,0.20428,0.11903,0.06945,0.01987,2.9703,4.12677,2.34522,1.25863,0.001802,0.001802,0.001802
12,94.2224,3.04173,3.6955,2.10871,1.20958,0.16609,0.09415,0.04801,0.01564,0.15537,0.12374,0.06171,0.01705,3.04526,3.97279,2.42098,1.30137,0.0017822,0.0017822,0.0017822
13,101.142,2.90782,3.72017,2.08799,1.19763,0.16327,0.12912,0.05299,0.01692,0.16677,0.16476,0.06947,0.01963,2.91107,4.03398,3.22382,1.207,0.0017624,0.0017624,0.0017624
14,107.972,2.87968,3.78534,1.97895,1.1797,0.19324,0.12845,0.07278,0.0245,0.15939,0.17149,0.08037,0.02698,2.85501,3.75251,2.30261,1.20459,0.0017426,0.0017426,0.0017426
15,114.712,2.88871,3.73941,1.93759,1.16409,0.19206,0.12172,0.06509,0.0206,0.1949,0.17418,0.08601,0.02558,2.88209,3.9481,2.154,1.20201,0.0017228,0.0017228,0.0017228
16,121.343,2.83132,3.70208,1.89921,1.18019,0.20315,0.10827,0.07381,0.02431,0.16363,0.11903,0.08292,0.02517,2.89805,3.73858,2.0606,1.24867,0.001703,0.001703,0.001703
17,128.031,2.9322,3.65733,1.91044,1.15435,0.19912,0.12239,0.05968,0.0193,0.18209,0.17216,0.08511,0.02422,2.88341,3.79745,2.22229,1.23014,0.0016832,0.0016832,0.0016832
18,134.761,2.82657,3.60345,1.8426,1.16265,0.22569,0.11163,0.06764,0.02327,0.1948,0.18157,0.09295,0.0305,2.93813,3.8177,2.2424,1.26079,0.0016634,0.0016634,0.0016634
19,141.527,2.81367,3.54339,1.81016,1.17181,0.17996,0.13786,0.07735,0.02428,0.16838,0.17754,0.08227,0.02679,2.83155,3.77297,2.04769,1.255,0.0016436,0.0016436,0.0016436
20,148.375,2.77741,3.59335,1.8637,1.15494,0.17662,0.1294,0.0719,0.02502,0.16853,0.15131,0.07308,0.02187,2.82258,3.95064,2.08639,1.18065,0.0016238,0.0016238,0.0016238
21,155.602,2.84742,3.66938,1.83947,1.18222,0.20539,0.13046,0.06253,0.02104,0.17037,0.16005,0.07684,0.02211,2.86691,3.89349,2.09254,1.19489,0.001604,0.001604,0.001604
22,163.026,2.88316,3.70939,1.92597,1.17279,0.20747,0.12643,0.06988,0.02308,0.15891,0.15198,0.07335,0.02118,2.83435,5.7649,2.14461,1.18655,0.0015842,0.0015842,0.0015842
23,170.073,2.83067,3.61041,1.8114,1.15519,0.17724,0.12172,0.05829,0.01971,0.1697,0.16476,0.07584,0.02231,2.92227,4.36746,2.24968,1.19906,0.0015644,0.0015644,0.0015644
