epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.4766,3.25578,12.4942,1.53059,0.00099,0.04416,0.00053,0.00014,3.12137,7.16204,1.29415,0.000655914,0.000655914,0.000655914
2,34.3118,3.32948,6.45079,1.40274,0.22605,0.0326,0.02964,0.01019,3.31149,5.87415,1.35417,0.00127894,0.00127894,0.00127894
3,42.1891,3.40208,6.17974,1.33665,0.04192,0.04206,0.00708,0.00185,3.34461,6.8569,1.43417,0.00185796,0.00185796,0.00185796
4,49.9789,3.49394,5.83271,1.38048,0.09256,0.09253,0.02581,0.0061,3.34472,4.27256,1.50372,0.001802,0.001802,0.001802
5,142.765,3.28262,4.52909,1.33336,0.15188,0.10726,0.03975,0.01272,3.20455,4.49509,1.39661,0.001736,0.001736,0.001736
6,220.758,3.25477,3.65385,1.38024,0.14286,0.11356,0.03527,0.00924,3.35285,3.22667,1.31836,0.00167,0.00167,0.00167
7,363.919,3.20615,3.53836,1.32508,0.16641,0.07992,0.04829,0.01526,3.1133,2.57025,1.24085,0.001604,0.001604,0.001604
8,372.576,3.10413,3.53935,1.30287,0.15691,0.11987,0.04435,0.01243,3.15028,2.42172,1.24049,0.001538,0.001538,0.001538
9,381.13,3.21575,3.17939,1.26743,0.19282,0.11251,0.05066,0.01461,3.04041,2.45078,1.19817,0.001472,0.001472,0.001472
10,389.256,3.2656,3.2667,1.29772,0.24201,0.07886,0.06588,0.02019,3.15813,2.42158,1.22533,0.001406,0.001406,0.001406
11,397.422,3.14307,3.01821,1.2648,0.21038,0.12934,0.07187,0.02439,2.99392,2.1497,1.24409,0.00134,0.00134,0.00134
12,405.425,3.1311,2.82525,1.2705,0.19788,0.15563,0.07952,0.02545,3.02361,2.35073,1.24978,0.001274,0.001274,0.001274
13,413.374,3.0667,2.79976,1.2887,0.19815,0.15565,0.09053,0.02832,2.95138,2.08074,1.22037,0.001208,0.001208,0.001208
14,421.36,3.07604,2.69688,1.27044,0.20817,0.13985,0.08235,0.02613,2.94709,2.13764,1.17993,0.001142,0.001142,0.001142
15,429.283,3.07415,2.6645,1.24116,0.2266,0.15878,0.09023,0.02863,2.93585,2.04951,1.21314,0.001076,0.001076,0.001076
16,437.063,3.08841,2.69908,1.30429,0.22293,0.15878,0.09779,0.03043,2.93608,2.10104,1.20618,0.00101,0.00101,0.00101
17,444.867,3.02133,2.70519,1.25452,0.30102,0.15983,0.11255,0.03785,2.97535,2.11218,1.20789,0.000944,0.000944,0.000944
18,452.681,3.0562,2.65642,1.24528,0.23328,0.16088,0.10006,0.03135,2.98142,2.03806,1.21975,0.000878,0.000878,0.000878
19,460.608,3.02463,2.44189,1.28635,0.24563,0.17035,0.10326,0.03482,2.96737,1.9853,1.18315,0.000812,0.000812,0.000812
20,468.286,3.06632,2.62226,1.21575,0.2563,0.17035,0.11005,0.03718,2.84955,2.00654,1.16056,0.000746,0.000746,0.000746
21,477.466,2.91754,2.47559,1.27855,0.26437,0.16193,0.11254,0.03999,2.86711,1.98809,1.19051,0.00068,0.00068,0.00068
22,485.065,2.98482,2.50096,1.27531,0.2478,0.16824,0.10418,0.03652,2.89619,1.98059,1.18595,0.000614,0.000614,0.000614
23,492.749,2.90886,2.38919,1.3044,0.24498,0.1693,0.10134,0.03512,2.89096,1.99733,1.18509,0.000548,0.000548,0.000548
24,500.326,2.85921,2.47933,1.25245,0.27781,0.16719,0.10858,0.03688,2.83831,2.02666,1.19798,0.000482,0.000482,0.000482
25,507.941,2.82925,2.41659,1.23335,0.29698,0.17876,0.11443,0.03982,2.79847,1.936,1.17229,0.000416,0.000416,0.000416
26,515.594,2.92445,2.40157,1.23955,0.24466,0.17771,0.10789,0.03933,2.80771,1.92893,1.18492,0.00035,0.00035,0.00035
27,523.218,2.82457,2.31622,1.24236,0.22244,0.15563,0.1038,0.03795,2.80592,1.98039,1.17729,0.000284,0.000284,0.000284
28,530.855,2.84752,2.41079,1.24781,0.23927,0.17245,0.10791,0.04055,2.76935,1.92268,1.176,0.000218,0.000218,0.000218
29,538.468,2.77858,2.16047,1.22508,0.2524,0.17771,0.11818,0.04436,2.78004,1.92953,1.17491,0.000152,0.000152,0.000152
30,546.08,2.84451,2.29634,1.22542,0.27141,0.17035,0.11514,0.04327,2.78849,1.93401,1.1725,8.6e-05,8.6e-05,8.6e-05
