epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1056,3.00338,4.55353,11.2742,1.24573,0.00113,0.05047,0.00061,0.00022,0.00144,0.06414,0.00078,0.00025,2.93142,4.01564,10.9962,1.194,0.000660317,0.000660317,0.000660317
2,22.991,3.18797,4.31872,9.3923,1.2491,0.16635,0.08517,0.03594,0.00895,0.1643,0.08412,0.03893,0.00981,3.14394,4.10971,8.75045,1.24791,0.00131385,0.00131385,0.00131385
3,32.483,3.27965,4.34746,7.43281,1.27296,0.14193,0.11251,0.03663,0.00961,0.11594,0.10515,0.04282,0.01188,3.12349,4.71783,7.91989,1.19953,0.00195418,0.00195418,0.00195418
4,41.6055,3.40021,4.32603,6.96721,1.30168,0.13163,0.11987,0.04823,0.01345,0.15493,0.13144,0.06182,0.016,3.1118,4.07238,7.83774,1.2514,0.0019406,0.0019406,0.0019406
5,50.6775,3.24459,4.27567,5.94067,1.25255,0.208,0.09776,0.05798,0.01687,0.20812,0.1041,0.06663,0.01639,2.96729,3.94589,3.17458,1.22261,0.0019208,0.0019208,0.0019208
6,59.6398,3.27104,3.94915,4.65199,1.27126,0.13413,0.11882,0.04826,0.01425,0.1392,0.16088,0.05941,0.0149,3.02201,4.71956,4.48704,1.18165,0.001901,0.001901,0.001901
7,68.4714,3.25027,4.25459,4.12665,1.26147,0.15781,0.11567,0.04782,0.013,0.15412,0.13775,0.06198,0.01476,3.08333,3.62904,3.34735,1.16464,0.0018812,0.0018812,0.0018812
8,77.405,3.26703,4.31072,3.9713,1.25985,0.15121,0.13249,0.05751,0.0158,0.15003,0.14826,0.07108,0.01781,2.96298,3.64242,3.23058,1.12996,0.0018614,0.0018614,0.0018614
9,86.2572,3.14443,3.98371,3.46513,1.19434,0.19601,0.09043,0.0543,0.01527,0.19829,0.09148,0.06522,0.01771,2.98339,3.72703,2.3358,1.11802,0.0018416,0.0018416,0.0018416
10,95.4987,3.2288,4.16383,3.20811,1.23782,0.15105,0.11882,0.05068,0.01475,0.11746,0.13354,0.05383,0.01247,3.01832,3.72734,3.135,1.14097,0.0018218,0.0018218,0.0018218
11,104.719,3.15669,4.1927,3.06563,1.20699,0.18398,0.12408,0.06367,0.01981,0.19796,0.16999,0.08528,0.02307,3.03865,3.89204,2.416,1.18141,0.001802,0.001802,0.001802
12,113.66,3.21539,3.95048,3.10749,1.21396,0.1724,0.11041,0.06294,0.01763,0.16928,0.11882,0.06499,0.01726,2.93258,4.04056,2.23008,1.12678,0.0017822,0.0017822,0.0017822
13,122.72,3.06367,4.00165,2.91086,1.24623,0.18115,0.13249,0.05783,0.01698,0.18577,0.1735,0.08601,0.02205,2.9604,3.4664,2.70684,1.18531,0.0017624,0.0017624,0.0017624
14,165.535,3.05687,3.80693,2.71117,1.16619,0.16599,0.13985,0.07852,0.02562,0.15786,0.14721,0.09517,0.02954,2.88771,3.69354,2.26409,1.14021,0.0017426,0.0017426,0.0017426
15,212.91,3.1733,4.05204,2.81384,1.22573,0.17561,0.11356,0.07273,0.02296,0.18347,0.14814,0.0813,0.02396,2.95799,3.98744,2.23133,1.14256,0.0017228,0.0017228,0.0017228
16,221.56,3.20431,4.32595,2.96667,1.24796,0.20083,0.1062,0.068,0.02305,0.17228,0.11882,0.07586,0.02258,2.9165,3.67977,2.17193,1.16287,0.001703,0.001703,0.001703
17,230.434,2.98577,4.25447,2.50388,1.25001,0.20403,0.12479,0.07009,0.02315,0.19945,0.13354,0.07963,0.02218,2.81263,65.0255,2.14281,1.22693,0.0016832,0.0016832,0.0016832
18,239.547,2.99117,4.02907,2.69903,1.19516,0.1982,0.10726,0.07484,0.02438,0.15738,0.13354,0.07725,0.02122,2.9094,3.82994,2.69917,1.15957,0.0016634,0.0016634,0.0016634
19,255.119,3.07172,4.09498,2.68451,1.22213,0.20272,0.11567,0.05955,0.01968,0.16027,0.12093,0.05669,0.01467,2.8843,3.6041,5.92048,1.11,0.0016436,0.0016436,0.0016436
